Term
spinach 菠菜 bōcài
string beans 四季豆 sì jì dòu
tomato 番茄 fān qié
vegetable 蔬菜 shūcài

Fruits

FLASHCARDS:

English / Pinyin 

Hanzi / Pinyin

Ω Vocabulary in This Flashcard Set:

apple 苹果 píngguǒ
apricot 杏子 xìng zi
banana 香蕉 xiāngjiāo
coconut 椰子 yē zi
fruit 水果 shuǐguǒ
grape 葡萄 pútao
lemon 柠檬 níng méng
ly’chee 荔枝 lì zhī
mango 芒果 máng guǒ
orange 橙子 chéng zi
papaya 木瓜 mù guā
peach 桃子 táo zi
pear 梨子 lí zi
pineapple 菠萝 bō luó
plum 李子 lǐ zi
raspberry 木莓 mù méi
strawberry 草莓 cǎo méi
tangerine 橘子 jú zi
watermelon 西瓜 xīguā

Chinese Food

FLASHCARDS: 

English / Pinyin 

Hanzi / Pinyin

Ω Vocabulary in This Flashcard Set:

bamboo shoots 竹笋 zhú sǔn
bean shoots 豆芽 dòu yá
beef noodle soup 牛肉面 niú ròu miàn
bun (steam) 馒头 mán tou
bun (steamed and stuffed) 包子 bāo zi
cake (with baked sesame seed) 烧饼 shāo bing
Cantonese food 粤菜 Yuè cài
deep fried dough stick 油条 yóu tiáo
deep fried pancake 油饼 yóu bǐng
dim sum 点心 diǎn xin
duck (boiled and salted) 盐水鸭 yánshuǐ yā
duck (Peking) 烤鸭 kǎo yā
dumplings (boiled) 水饺 shuǐ jiǎo
dumplings （stuffed with vegetable and/or meat） 饺子 jiǎozi
egg roll 春卷 chūn juǎn
fried noodles (chow mein) 炒面 chǎo miàn
hot pot 火锅 huǒguō
kung pao chicken 宫保鸡丁 gōng bǎo jī dīng
mapo tofu (stir-fried beancurd in chili sauce) 麻婆豆腐 má pó dòu fǔ
noodle shop 面馆 miàn guǎn
noodles 面条 miàntiáo
north east food 东北菜 dōngběi cài
plain cut chicken 白切鸡 bái qiē jī
pork (sweet and sour) 糖醋肉 táng cù ròu
pork (twice cooked pork) 回锅肉 huí guō ròu
pork braised in red sauce 红烧肉 hóng shāo ròu
porridge (congee) 粥 zhōu
pot - stickers (fried dumpling) 锅贴 guō tiē
rice - cooked 米饭 mǐ fàn
rice - white 白饭 bái fàn
rice (fried) 炒饭 chǎo fàn
rice (uncooked) 米 mǐ
rice-flour noodles 米粉 mǐ fěn
Sichuan food 四川菜 sìchuān cài
tofu (bean curd) 豆腐 dòu fu
tomatoes and scrambled eggs with fried rice 番茄炒蛋 fānqié chǎodàn
wonton soup (dumpling soup) 馄饨 hún tun

Drinks

FLASHCARDS: 

English / Pinyin 

Hanzi / Pinyin

Ω Vocabulary in This Flashcard Set:

alcoholic beverages 酒 jiǔ
beer 啤酒 píjiǔ
brandy 白兰地 bái lán dì
Chinese white spirits 白酒 bái jiǔ
coca cola 可口可乐 kě kǒu kě lè
coffee 咖啡 kāfēi
coffee (to make) 泡咖啡 pào kāfēi
drink (hot) 热饮 rè yǐn
drunk (to get) 喝醉 hē zuì
drunk 醉 zuì
fruit juice 果汁 guǒ zhī
honey 蜂蜜 fēng mì
ice 冰 bīng
ice cubes 冰块 bīng kuài
lemonade 柠檬水 níng méng shuǐ
milk 牛奶 niúnǎi
milkshake 奶昔 nǎi xī
mineral water 矿泉水 kuàng quán shuǐ
Moutai (strong Chinese spirit) 茅台 Máo tái
orange juice 橙汁 chéng zhī
Pepsi 百事可乐 bǎi shì kě lè
soy milk 豆浆 dòu jiāng
soft drink 汽水 qì shuǐ
sprite 雪碧 xuě bì
tea 茶 chá
tea leaves 茶叶chá yè
tea (black) 红茶 hóng chá
tea (green) 绿茶 lǜ chá
tea (jasmine) 茉莉花茶 mò li huā chá
tea (to make) 泡茶 pào chá
tea pot 茶壶 chá hú
thermos flask (hot water dispenser) 热水瓶 rè shuǐ píng
thirsty 口渴 kǒu kě
water 水 shuǐ
water (boiled) 开水 kāishuǐ
water (chilled) 冰水 bīng shuǐ
water (to boiled water) 烧水 shāo shuǐ
wine 葡萄酒 pútáojiǔ
wine - red 红葡萄酒 hóng pútaojiǔ 
wine - white 白葡萄酒 bái pútaojiǔ 

Utensils and Equipment

FLASHCARDS: 

English / Pinyin 

Hanzi / Pinyin

Ω Vocabulary in This Flashcard Set:

bowl 碗 wǎn
chopsticks 筷子 kuàizi
cup 杯子 bēizi
fork 叉子 chāzi
kettle 开水壶 kāishuǐhú
knife 刀 dāo
knife and fork 刀叉 dāo chā
microwave oven 微波炉 wéibōlú
napkin 餐巾 cānjīn
plate 盘子 pánzi
pot 锅 guō
spatula 锅铲 guōchǎn
spoon 勺子 sháozi
straw 吸管 xī guǎn
steamer basket 蒸笼 zhēng lóng
stove 炉子 lúzi
stove (electric) 电炉 diàn lú
stove (gas) 煤气炉 méiqìlú
tea cup 茶杯 chá bēi
tooth pick 牙签 yáqiān
wok 炒锅 chǎo guō

Cooking Methods

FLASHCARDS: 

English / Pinyin 

Hanzi / Pinyin

Ω Vocabulary in This Flashcard Set:

barbecue 烧烤 shāokǎo
boil in water (to) 煮 zhǔ
cook a meal (to) 做饭 zuò fàn
cook book 食谱 shí pǔ
fry (deep) 炸 zhá
fry (pan) 煎 jiān
steam (to) 蒸 zhēng
stew (or simmer) 炖 dùn
stir-fry (or saute) 炒 chǎo

Seasonings

FLASHCARDS: 

English / Pinyin 

Hanzi / Pinyin

Ω Vocabulary in This Flashcard Set:

chili 辣椒 làjiāo
chili sauce 辣椒酱 làjiāo jiàng
curry 咖喱 gā lí 
ketchup 番茄酱 fānqié jiàng
MSG 味精 wèi jīng
pepper 胡椒 hújiāo
salt 盐 yán
Sichuan pepper 花椒 huā jiāo
soy sauce 酱油 jiàngyóu
vinegar 醋 cù

Follow on WeChat



Copyright © 2022 . All Rights Reserved.
Screenr parallax theme by FameThemes
